ts_code,close,MA20,MA60,MA240,RSI6,RSI13,VOL_MA3,VOL_MA18
000061.SZ,7.11,6.40,6.48,6.08,87.29,61.67,331856.84,170038.77
000713.SZ,8.88,7.28,7.23,6.54,95.61,84.68,1054001.79,268494.70
000876.SZ,11.04,9.67,9.29,9.40,90.29,76.83,1799180.31,513070.36
002041.SZ,12.46,10.60,10.91,9.62,97.28,75.59,611085.18,167955.71
002094.SZ,6.18,5.63,5.62,4.18,82.43,59.81,1381643.93,423319.94
002321.SZ,2.77,2.43,2.42,2.02,88.89,69.88,1077806.51,378273.76
003030.SZ,20.90,17.11,16.54,15.38,91.57,78.68,184102.42,57827.94
300087.SZ,10.44,9.68,10.20,8.68,83.92,61.32,598723.18,219675.93
300127.SZ,29.35,24.74,26.13,20.58,88.92,68.79,334346.11,114570.26
300189.SZ,5.17,3.81,3.87,2.98,95.24,77.45,3066793.89,857041.05
300203.SZ,18.73,17.23,17.09,14.32,85.83,74.15,368639.12,121679.09
300240.SZ,7.79,6.71,6.54,6.32,82.51,66.36,966260.03,253970.96
300468.SZ,19.08,16.48,16.61,13.68,94.24,69.96,928686.84,265068.54
300641.SZ,28.00,26.43,26.28,23.82,94.51,60.96,514367.27,325809.48
300898.SZ,34.19,30.94,27.18,21.67,87.86,55.00,184344.28,159720.83
301116.SZ,14.52,11.98,11.77,11.07,88.95,73.84,306374.47,126687.47
600108.SH,3.25,2.86,2.82,2.69,89.66,74.07,1454372.62,435853.10
600186.SH,6.92,6.54,6.23,4.60,89.69,51.13,2535689.73,1392785.74
600354.SH,6.99,5.77,5.81,5.42,94.30,84.78,1082200.15,260834.12
600359.SH,8.24,6.88,6.55,6.30,94.51,79.83,553559.40,144763.19
600371.SH,10.64,8.81,8.79,8.09,98.69,79.17,332427.82,81929.54
600536.SH,49.75,45.18,46.73,39.83,86.95,64.48,638829.83,213186.12
600540.SH,5.16,4.15,4.01,3.87,89.54,74.62,255749.50,127207.69
600598.SH,17.25,14.19,14.04,13.74,94.72,91.00,1300263.39,328032.81
600900.SH,29.05,27.73,28.03,28.22,88.46,77.52,2345965.02,1048211.35
601008.SH,5.15,3.98,3.80,3.73,97.10,89.57,1044299.12,313207.23
601229.SH,10.10,9.58,9.29,8.08,78.49,75.69,960411.26,515142.45
601728.SH,8.22,7.79,7.60,6.60,77.78,71.97,2070001.10,1331096.36
601933.SH,5.70,4.91,5.28,3.81,88.89,60.71,6498769.15,3545887.94
603079.SH,15.67,14.48,13.96,12.77,78.82,64.88,262275.21,77174.87
603221.SH,12.68,10.03,9.61,9.42,93.99,79.87,153253.34,56110.33
603609.SH,8.96,7.86,7.76,7.49,91.97,85.41,184652.20,74068.41
603697.SH,10.68,9.84,9.53,7.77,73.50,65.44,141596.88,98476.16
603836.SH,14.12,12.92,12.44,12.61,81.40,66.76,198428.90,52040.52
605499.SH,256.00,238.10,236.29,227.40,82.48,73.45,32220.07,26785.55
830964.BJ,9.34,8.05,7.71,5.45,77.40,60.22,267812.21,124627.90
831087.BJ,21.98,13.34,12.87,9.59,96.85,84.09,280007.23,88951.82
831726.BJ,25.24,22.65,21.46,14.02,80.61,58.39,86298.63,57698.48
832023.BJ,6.55,5.76,5.31,3.91,85.09,59.64,445688.33,235690.49
832786.BJ,11.80,9.75,8.15,6.63,82.32,61.60,382214.77,318363.81
833394.BJ,32.73,28.75,25.34,18.78,77.63,61.51,96429.37,49761.91
836422.BJ,15.62,13.89,11.71,8.40,71.60,57.20,80676.77,60657.05
836826.BJ,14.00,12.51,11.40,8.77,83.88,59.37,170616.14,107473.75
838275.BJ,12.30,9.71,8.21,5.46,73.18,65.88,204266.41,105188.87
839371.BJ,14.94,9.87,8.41,6.29,91.60,75.16,305149.17,135553.58
870866.BJ,12.27,9.31,8.47,6.88,87.64,70.33,190642.87,67983.99
872351.BJ,19.15,15.43,13.57,9.53,88.80,66.79,187733.43,71295.20
873305.BJ,41.70,29.68,27.12,18.87,84.26,71.55,90122.65,40669.73
