ts_code,close,MA20,MA60,MA240,RSI6,RSI13,VOL_MA3,VOL_MA18,name,industry
000831.SZ,34.63,32.60,30.54,27.80,88.80,71.91,944087.64,453115.28,中国稀土,小金属
002187.SZ,7.73,7.06,7.59,5.68,70.28,59.61,744298.32,314908.28,广百股份,百货
002570.SZ,6.30,5.06,4.57,3.64,88.89,70.24,2662317.98,2147051.30,贝因美,乳制品
002946.SZ,18.26,15.18,14.78,11.73,84.88,78.60,230616.58,140495.03,新乳业,乳制品
300022.SZ,8.06,7.03,6.20,4.68,72.15,56.03,466453.19,292812.53,吉峰科技,农用机械
300106.SZ,13.76,10.44,9.38,8.18,98.67,79.71,603668.86,369127.38,西部牧业,乳制品
300203.SZ,18.73,17.23,17.09,14.32,85.83,74.15,368639.12,121679.09,聚光科技,电器仪表
300395.SZ,51.26,45.78,41.91,36.38,75.58,75.82,107203.99,82676.75,菲利华,玻璃
300511.SZ,5.64,4.98,4.01,3.59,84.87,65.82,1325184.35,768313.25,雪榕生物,种植业
300892.SZ,41.95,30.35,30.25,24.73,87.43,74.34,142041.67,64238.70,品渥食品,乳制品
300898.SZ,37.00,31.73,27.57,21.79,97.68,70.56,247885.19,171774.68,熊猫乳品,乳制品
301269.SZ,127.49,114.11,114.36,95.16,76.36,62.72,125274.30,74489.92,华大九天,半导体
430300.BJ,20.32,18.20,15.64,11.11,77.84,70.72,153567.30,126963.14,辰光医疗,医疗保健
600300.SH,3.99,3.51,3.29,2.88,85.06,69.13,2933183.19,1314667.72,维维股份,软饮料
600371.SH,10.64,8.81,8.79,8.09,98.69,79.17,332427.82,81929.54,万向德农,种植业
600419.SH,11.43,10.31,9.49,8.86,80.30,68.41,293996.27,139921.16,天润乳业,乳制品
600859.SH,16.20,13.96,13.64,13.81,75.68,69.95,580487.29,257061.37,王府井,百货
601933.SH,6.04,4.96,5.28,3.83,89.31,69.67,8825217.07,4105011.25,永辉超市,超市连锁
603057.SH,21.90,19.94,18.18,17.18,73.59,67.95,60724.29,31205.75,紫燕食品,食品
603214.SH,24.53,21.14,21.31,15.91,81.82,70.03,188212.06,118157.16,爱婴室,百货
603697.SH,10.92,9.99,9.56,7.81,70.20,65.53,198923.10,100062.59,有友食品,食品
831087.BJ,21.98,13.34,12.87,9.59,96.85,84.09,280007.23,88951.82,秋乐种业,种植业
832786.BJ,14.96,10.24,8.37,6.69,95.83,78.22,577295.13,358737.41,骑士乳业,乳制品
833429.BJ,22.88,19.69,17.49,13.79,84.84,73.13,118409.81,51473.21,康比特,食品
833819.BJ,4.29,3.88,3.59,3.40,81.73,57.31,549558.94,265421.34,颖泰生物,农药化肥
836422.BJ,20.29,14.37,12.02,8.50,91.55,78.97,180293.70,71393.15,润普食品,食品
836826.BJ,15.69,12.74,11.56,8.81,98.70,76.78,268039.27,114948.45,盖世食品,食品
836892.BJ,15.96,13.99,12.92,10.99,77.39,71.32,53469.77,21292.50,广咨国际,建筑工程
837006.BJ,35.18,29.09,26.21,18.84,71.04,67.74,160808.19,64834.52,晟楠科技,航空
838262.BJ,32.51,25.41,25.84,17.35,71.43,66.99,47866.35,24357.84,太湖雪,纺织
870508.BJ,22.62,19.14,16.45,11.77,78.94,67.56,74738.55,33656.33,丰安股份,机械基件
870866.BJ,12.27,9.31,8.47,6.88,87.64,70.33,190642.87,67983.99,绿亨科技,农药化肥
871642.BJ,16.24,13.36,12.43,10.14,72.60,65.64,140856.47,59187.91,通易航天,航空
872895.BJ,20.07,17.72,15.78,11.44,76.83,65.89,97137.98,35481.65,花溪科技,农用机械
