ts_code,result,name,industry
002292.SZ,99,奥飞娱乐,影视音像
000733.SZ,99,振华科技,元器件
002465.SZ,99,海格通信,通信设备
300729.SZ,99,乐歌股份,家居用品
301171.SZ,99,易点天下,互联网
300638.SZ,99,广和通,通信设备
603986.SH,99,兆易创新,半导体
002386.SZ,99,天原股份,化工原料
002380.SZ,99,科远智慧,软件服务
603236.SH,99,移远通信,通信设备
688507.SH,99,索辰科技,软件服务
688582.SH,99,芯动联科,电器仪表
603662.SH,99,柯力传感,电器仪表
002897.SZ,99,意华股份,元器件
300793.SZ,99,佳禾智能,IT设备
688012.SH,99,中微公司,半导体
603728.SH,99,鸣志电器,电气设备
300913.SZ,99,兆龙互连,通信设备
300308.SZ,99,中际旭创,通信设备
603893.SH,99,瑞芯微,半导体
603200.SH,99,上海洗霸,环境保护
300662.SZ,99,科锐国际,文教休闲
300458.SZ,99,全志科技,半导体
300502.SZ,99,新易盛,通信设备
689009.SH,99,九号公司-WD,摩托车
688777.SH,99,中控技术,专用机械
601137.SH,99,博威合金,小金属
300515.SZ,99,三德科技,电器仪表
688165.SH,99,埃夫特-U,专用机械
300007.SZ,99,汉威科技,电器仪表
300757.SZ,99,罗博特科,专用机械
688111.SH,99,金山办公,软件服务
301598.SZ,99,博科测试,专用机械
000988.SZ,99,华工科技,专用机械
603341.SH,99,龙旗科技,通信设备
300442.SZ,99,润泽科技,软件服务
300718.SZ,99,长盛轴承,机械基件
002281.SZ,99,光迅科技,通信设备
002130.SZ,99,沃尔核材,电气设备
688099.SH,99,晶晨股份,半导体
300563.SZ,99,神宇股份,通信设备
301128.SZ,99,强瑞技术,专用机械
300580.SZ,99,贝斯特,汽车配件
301252.SZ,99,同星科技,机械基件
300866.SZ,99,安克创新,元器件
603007.SH,99,ST花王,建筑工程
688799.SH,99,华纳药厂,化学制药
002979.SZ,99,雷赛智能,专用机械
688981.SH,99,中芯国际,半导体
603915.SH,99,国茂股份,机械基件
688017.SH,99,绿的谐波,机械基件
002851.SZ,99,麦格米特,电气设备
688160.SH,99,步科股份,电器仪表
002991.SZ,99,甘源食品,食品
002351.SZ,99,漫步者,IT设备
600406.SH,99,国电南瑞,电气设备
002270.SZ,99,华明装备,电气设备
002947.SZ,99,恒铭达,元器件
002262.SZ,99,恩华药业,化学制药
002032.SZ,99,苏泊尔,家用电器
002428.SZ,99,云南锗业,小金属
601933.SH,99,永辉超市,超市连锁
002920.SZ,99,德赛西威,汽车配件
688617.SH,99,惠泰医疗,医疗保健
300595.SZ,99,欧普康视,医疗保健
300015.SZ,99,爱尔眼科,医疗保健
688050.SH,99,爱博医疗,医疗保健
000651.SZ,99,格力电器,家用电器
000568.SZ,99,泸州老窖,白酒
000567.SZ,99,海德股份,多元金融
000063.SZ,99,中兴通讯,通信设备
002959.SZ,99,小熊电器,家用电器
600570.SH,99,恒生电子,软件服务
688484.SH,99,南芯科技,半导体
001827.SZ,99,未知,未知
301061.SZ,99,匠心家居,家居用品
002444.SZ,99,巨星科技,轻工机械
603600.SH,99,永艺股份,家居用品
300360.SZ,99,炬华科技,电器仪表
002001.SZ,99,新和成,化学制药
688278.SH,99,特宝生物,生物制药
300857.SZ,99,协创数据,IT设备
300457.SZ,99,赢合科技,专用机械
002533.SZ,99,金杯电工,电气设备
300760.SZ,99,迈瑞医疗,医疗保健
002371.SZ,99,北方华创,半导体
603713.SH,99,密尔克卫,仓储物流
002837.SZ,99,英维克,专用机械
002241.SZ,99,歌尔股份,元器件
300811.SZ,99,铂科新材,矿物制品
688676.SH,99,金盘科技,电气设备
301280.SZ,99,珠城科技,元器件
688019.SH,99,安集科技,半导体
301172.SZ,99,君逸数码,软件服务
603606.SH,99,东方电缆,电气设备
603565.SH,99,中谷物流,水运
300124.SZ,99,汇川技术,电器仪表
600660.SH,99,福耀玻璃,汽车配件
002555.SZ,99,三七互娱,互联网
688008.SH,99,澜起科技,半导体
002463.SZ,99,沪电股份,元器件
300852.SZ,99,四会富仕,元器件
300896.SZ,99,爱美客,医疗保健
600309.SH,99,万华化学,化工原料
300059.SZ,99,东方财富,证券
603605.SH,99,珀莱雅,日用化工
000333.SZ,99,美的集团,家用电器
601012.SH,99,隆基绿能,电气设备
600873.SH,99,梅花生物,食品
603529.SH,99,爱玛科技,摩托车
605111.SH,99,新洁能,半导体
002884.SZ,99,凌霄泵业,机械基件
603195.SH,99,公牛集团,家用电器
600887.SH,99,伊利股份,乳制品
000538.SZ,99,云南白药,中成药
300750.SZ,99,宁德时代,电气设备
601838.SH,99,成都银行,银行
600519.SH,99,贵州茅台,白酒
600036.SH,99,招商银行,银行
601318.SH,99,中国平安,保险
000002.SZ,99,万科A,全国地产
600048.SH,99,保利发展,全国地产
000858.SZ,99,五粮液,白酒
000005.SZ,99,未知,未知
