ts_code,name,industry
000001.SZ,平安银行,银行
000002.SZ,万科A,全国地产
000004.SZ,*ST国华,软件服务
000006.SZ,深振业A,区域地产
000007.SZ,全新好,其他商业
000008.SZ,神州高铁,运输设备
000009.SZ,中国宝安,电气设备
000010.SZ,美丽生态,建筑工程
000011.SZ,深物业A,房产服务
000012.SZ,南玻A,玻璃
000014.SZ,沙河股份,全国地产
000016.SZ,深康佳A,家用电器
000017.SZ,深中华A,服饰
000019.SZ,深粮控股,农业综合
000020.SZ,深华发A,元器件
000021.SZ,深科技,元器件
000025.SZ,特力A,综合类
000026.SZ,飞亚达,服饰
000027.SZ,深圳能源,火力发电
000028.SZ,国药一致,医药商业
000029.SZ,深深房A,区域地产
000030.SZ,富奥股份,汽车配件
000031.SZ,大悦城,全国地产
000032.SZ,深桑达A,建筑工程
000034.SZ,神州数码,软件服务
000035.SZ,中国天楹,环境保护
000036.SZ,华联控股,全国地产
000037.SZ,深南电A,火力发电
000039.SZ,中集集团,运输设备
000042.SZ,中洲控股,全国地产
000045.SZ,深纺织A,元器件
000048.SZ,京基智农,区域地产
000049.SZ,德赛电池,电气设备
000050.SZ,深天马A,元器件
000055.SZ,方大集团,其他建材
000056.SZ,皇庭国际,其他商业
000058.SZ,深赛格,商品城
000059.SZ,华锦股份,石油加工
000060.SZ,中金岭南,铅锌
000061.SZ,农产品,农业综合
000062.SZ,深圳华强,元器件
000063.SZ,中兴通讯,通信设备
000065.SZ,北方国际,建筑工程
000066.SZ,中国长城,IT设备
000068.SZ,华控赛格,环境保护
000069.SZ,华侨城A,全国地产
000070.SZ,ST特信,通信设备
000078.SZ,海王生物,医药商业
000088.SZ,盐田港,港口
000089.SZ,深圳机场,机场
000090.SZ,天健集团,建筑工程
000096.SZ,广聚能源,石油贸易
000099.SZ,中信海直,空运
000100.SZ,TCL科技,元器件
000151.SZ,中成股份,商贸代理
000153.SZ,丰原药业,化学制药
000155.SZ,川能动力,新型电力
000156.SZ,华数传媒,影视音像
000157.SZ,中联重科,工程机械
000158.SZ,常山北明,软件服务
000159.SZ,国际实业,石油贸易
000166.SZ,申万宏源,证券
000301.SZ,东方盛虹,化纤
000333.SZ,美的集团,家用电器
000338.SZ,潍柴动力,汽车配件
000400.SZ,许继电气,电气设备
000401.SZ,冀东水泥,水泥
000402.SZ,金融街,全国地产
000403.SZ,派林生物,生物制药
000404.SZ,长虹华意,家用电器
000407.SZ,胜利股份,供气供热
000408.SZ,藏格矿业,农药化肥
000409.SZ,云鼎科技,软件服务
000410.SZ,沈阳机床,机床制造
000411.SZ,英特集团,医药商业
000415.SZ,渤海租赁,多元金融
000417.SZ,合百集团,百货
000419.SZ,通程控股,百货
000420.SZ,吉林化纤,化纤
000421.SZ,南京公用,供气供热
000422.SZ,湖北宜化,农药化肥
000423.SZ,东阿阿胶,中成药
000425.SZ,徐工机械,工程机械
000426.SZ,兴业银锡,铅锌
000428.SZ,华天酒店,酒店餐饮
000429.SZ,粤高速A,路桥
000430.SZ,ST张家界,旅游景点
000488.SZ,ST晨鸣,造纸
000498.SZ,山东路桥,建筑工程
000501.SZ,武商集团,百货
000503.SZ,国新健康,软件服务
000504.SZ,*ST生物,医疗保健
000505.SZ,京粮控股,食品
000506.SZ,*ST中润,黄金
000507.SZ,珠海港,港口
000509.SZ,华塑控股,元器件
000510.SZ,新金路,化工原料
000513.SZ,丽珠集团,化学制药
000514.SZ,渝开发,区域地产
000516.SZ,国际医学,医疗保健
000517.SZ,荣安地产,区域地产
000518.SZ,*ST四环,生物制药
000519.SZ,中兵红箭,专用机械
000520.SZ,凤凰航运,水运
000521.SZ,长虹美菱,家用电器
000523.SZ,红棉股份,食品
000524.SZ,岭南控股,旅游服务
000525.SZ,ST红太阳,农药化肥
000526.SZ,学大教育,文教休闲
000528.SZ,柳工,工程机械
000529.SZ,广弘控股,食品
000530.SZ,冰山冷热,机械基件
000531.SZ,穗恒运A,火力发电
000532.SZ,华金资本,多元金融
000533.SZ,顺钠股份,电气设备
000534.SZ,万泽股份,生物制药
000536.SZ,华映科技,元器件
000537.SZ,中绿电,新型电力
000538.SZ,云南白药,中成药
000539.SZ,粤电力A,火力发电
000541.SZ,佛山照明,家用电器
000543.SZ,皖能电力,火力发电
000544.SZ,中原环保,环境保护
000545.SZ,金浦钛业,化工原料
000546.SZ,金圆股份,环境保护
000547.SZ,航天发展,通信设备
000548.SZ,湖南投资,路桥
000550.SZ,江铃汽车,汽车整车
000551.SZ,创元科技,专用机械
000552.SZ,甘肃能化,煤炭开采
000553.SZ,安道麦A,农药化肥
000554.SZ,泰山石油,石油贸易
000555.SZ,神州信息,软件服务
000557.SZ,西部创业,铁路
000558.SZ,天府文旅,旅游景点
000559.SZ,万向钱潮,汽车配件
000560.SZ,我爱我家,房产服务
000561.SZ,烽火电子,通信设备
000563.SZ,陕国投A,多元金融
000564.SZ,供销大集,百货
000565.SZ,渝三峡A,染料涂料
000566.SZ,海南海药,化学制药
000567.SZ,海德股份,多元金融
000568.SZ,泸州老窖,白酒
000570.SZ,苏常柴A,农用机械
000571.SZ,新大洲A,煤炭开采
000572.SZ,海马汽车,汽车整车
000573.SZ,粤宏远A,区域地产
000576.SZ,甘化科工,电气设备
000581.SZ,威孚高科,汽车配件
000582.SZ,北部湾港,港口
000584.SZ,*ST工智,专用机械
000586.SZ,汇源通信,通信设备
000589.SZ,贵州轮胎,汽车配件
000590.SZ,启迪药业,中成药
000591.SZ,太阳能,新型电力
000592.SZ,平潭发展,林业
000593.SZ,德龙汇能,供气供热
000595.SZ,*ST宝实,机械基件
000596.SZ,古井贡酒,白酒
000597.SZ,东北制药,化学制药
000598.SZ,兴蓉环境,水务
000599.SZ,青岛双星,汽车配件
000600.SZ,建投能源,火力发电
000601.SZ,韶能股份,水力发电
000603.SZ,盛达资源,铅锌
000605.SZ,渤海股份,水务
000607.SZ,华媒控股,广告包装
000608.SZ,*ST阳光,区域地产
000609.SZ,*ST中迪,区域地产
000610.SZ,西安旅游,旅游服务
000612.SZ,焦作万方,铝
000615.SZ,*ST美谷,医疗保健
000617.SZ,中油资本,多元金融
000619.SZ,海螺新材,其他建材
000620.SZ,新华联,全国地产
000622.SZ,*ST恒立,批发业
000623.SZ,吉林敖东,中成药
000625.SZ,长安汽车,汽车整车
000626.SZ,远大控股,商贸代理
000627.SZ,天茂集团,保险
000628.SZ,高新发展,建筑工程
000629.SZ,钒钛股份,小金属
000630.SZ,铜陵有色,铜
000631.SZ,顺发恒业,综合类
000632.SZ,三木集团,综合类
000633.SZ,合金投资,小金属
000635.SZ,英力特,化工原料
000636.SZ,风华高科,元器件
000637.SZ,茂化实华,石油加工
000638.SZ,*ST万方,农业综合
000639.SZ,西王食品,食品
000650.SZ,仁和药业,中成药
000651.SZ,格力电器,家用电器
000652.SZ,泰达股份,批发业
000655.SZ,金岭矿业,普钢
000656.SZ,*ST金科,全国地产
000657.SZ,中钨高新,小金属
