ts_code,name,industry,current_price,MA240_trend
605577.SH,龙版传媒,出版业,20.05,上升
300861.SZ,美畅股份,矿物制品,28.48,上升
600675.SH,中华企业,区域地产,2.99,上升
002174.SZ,游族网络,互联网,10.27,上升
300118.SZ,东方日升,电气设备,15.2,上升
600199.SH,金种子酒,白酒,16.69,上升
301348.SZ,蓝箭电子,半导体,34.82,上升
688032.SH,禾迈股份,电气设备,270.1,上升
688295.SH,中复神鹰,化纤,29.84,上升
002317.SZ,众生药业,中成药,15.78,上升
688348.SH,昱能科技,电气设备,79.27,上升
605168.SH,三人行,互联网,62.09,上升
300997.SZ,欢乐家,软饮料,15.69,上升
600325.SH,华发股份,区域地产,7.11,上升
300456.SZ,赛微电子,半导体,20.18,上升
605128.SH,上海沿浦,汽车配件,47.4,上升
001270.SZ,铖昌科技,半导体,57.3,上升
300133.SZ,华策影视,影视音像,8.29,上升
600872.SH,中炬高新,食品,27.77,上升
002015.SZ,协鑫能科,新型电力,10.49,上升
603533.SH,掌阅科技,互联网,25.45,上升
300364.SZ,中文在线,出版业,26.33,上升
600197.SH,伊力特,白酒,21.02,上升
603283.SH,赛腾股份,专用机械,72.97,上升
603439.SH,贵州三力,中成药,15.77,上升
603466.SH,风语筑,文教休闲,12.42,上升
605020.SH,永和股份,化工原料,30.54,上升
002791.SZ,坚朗五金,其他建材,36.47,上升
603517.SH,绝味食品,食品,20.06,上升
688298.SH,东方生物,医疗保健,30.87,上升
002385.SZ,大北农,饲料,4.93,上升
301153.SZ,中科江南,软件服务,61.04,上升
688556.SH,高测股份,专用机械,30.92,上升
600416.SH,湘电股份,电气设备,13.2,上升
002100.SZ,天康生物,饲料,7.43,上升
